,Kata Salah,Pembenaran
0,yg,yang
1,rame,ramai
2,gua,saya
3,ga,tidak
4,gw,saya
5,bro,teman
6,mw,mau
7,dlm,dalam
8,ditindes,ditindas
9,gen,generasi
10,kayak,seperti
11,kalo,kalau
12,diketawain,ditertawakan
13,merekamereka,mereka
14,lawyers,pengacara
15,sm,sama
16,g,tidak
17,trio,kelompok
18,kek,seperti
19,tv,televisi
20,ngeliat,melihat
21,nya,itu
22,ngomong,bicara
23,omongannya,ucapannya
24,dapet,dapat
25,tak,tidak
26,dg,dengan
27,komplit,lengkap
28,one,satu
29,gt,begitu
30,gak,tidak
31,job,pekerjaan
32,belayar,berlayar
33,males,malas
34,simpen,simpan
35,kau,kamu
36,jg,juga
37,ajah,saja
38,gk,tidak
39,semga,semoga
40,kyknya,sepertinya
41,mulu,terus
42,msh,masih
43,aja,saja
44,tdk,tidak
45,jgn,jangan
46,diulangulang,diulang
47,utk,untuk
48,thn,tahun
49,adem,tenang
50,terbuktiteruji,terbukti
51,sip,keren
52,indonesa,indonesia
53,engga,tidak
54,netra,netral
55,lo,kamu
56,nipu,tipu
57,km,kamu
58,akhlaq,akhlak
59,bacot,banyak bicara
60,sampe,sampai
61,kyk,seperti
62,ngadu,mengadu
63,pake,pakai
64,trus,terus
65,sdh,sudah
66,ngoceh,berbicara
67,udah,sudah
68,mending,lebih baik
69,gini,begini
70,skrg,sekarang
71,thanks,terimakasih
72,sp,sapa
73,ribet,rumit
74,knp,kenapa
75,poto,foto
76,jeketi,jkt
77,ahoax,hoax
78,indobesia,indonesia
79,on,menyala
80,palingg,paling
81,udh,sudah
82,lah,kenapa
83,online,daring
84,lu,kamu
85,mahasiswaum,mahasiswa
86,ngantri,mengantri
87,bae,baik
88,dgn,dengan
89,mau,ingin
90,yuk,ayo
91,ustadz,ustad
92,apaapa,apa
93,becanda,bercanda
94,nelen,menelan
95,hr,hari
96,orangorang,orang
97,rasain,rasakan
98,lg,lagi
99,buk,ibu
100,academi,akademi
101,dpt,dapat
102,org,orang
103,pd,pada
104,chanel,saluran
105,chaenel,saluran
106,powernya,kekuatan
107,nyebelin,menyebalkan
108,yag,yang
109,scr,secara
110,bgt,begitu
111,slalu,selalu
112,nyetel,memainkan
113,sbg,sebagai
114,cewe,perempuan
115,seneng,senang
116,bkin,membuat
117,ttg,tentang
118,dr,dari
119,bentar,sebentar
120,nih,ini
121,pinter,pintar
122,utadz,ustad
123,klo,jika
124,focus,fokus
125,emang,memang
126,sodara,saudara
127,gatau,tidak tahu
128,mjkt,jkt
129,tau,tahu
130,cowo,pria
131,hutjekardah,jakarta
132,anakanak,anak
133,boys,pria
134,nongol,muncul
135,blm,belum
136,ngintip,mengintip
137,eps,episode
138,krn,karena
139,jd,jadi
140,design,desain
141,staff,karyawan
142,catet,catat
143,ogah,malas
144,msk,masuk
145,ttp,tetap
146,ngeselin,menyebalkan
147,tuh,itu
148,abis,habis
149,gue,saya
150,diapaapain,diapakan
151,ajha,saja
152,byk,banyak
153,lbh,lebih
154,hbs,habis
155,dah,sudah
156,nyebar,menyebar
157,club,klub
158,bpk,bapak
159,pdhl,padahal
160,capek,lelah
161,mimin,admin
